Nombre;Puntuacion;Precio;Estrellas;Direccion
 THB Los Molinos Adults Only;4.1;€93;4;Ibiza City Centre, Ibiza Town
 Hotel Puchet Ibiza;4;€76;3;Sant Antoni de Portmany
 Hotel Moon Dreams Paraíso;4.1;€78;3;Santa Eulalia del Rio
 Hotel Vibra Marítimo;4;€75;3;Ibiza City Centre, Ibiza Town
 Cisne by Nest Hostel;N/A;€30;2;Sant Antoni de Portmany
 Aparthotel Duquesa Playa;4.6;€84;4;Santa Eulalia del Rio
 Hostal La Torre;4;€57;1;Sant Antoni de Portmany
 Core Ibiza Town Hotel;N/A;€113;4;Ibiza City Centre, Ibiza Town
 Hotel Royal Plaza;3.8;€86;4;Ibiza City Centre, Ibiza Town
 Eurostars Ibiza;4.1;€96;4;Ibiza City Centre, Ibiza Town
 Ocean Drive Ibiza;4.2;€65;4;Ibiza Town
 Hotel Florencio;3.8;€90;3;Sant Antoni de Portmany
 Hostal Marí;4.3;€60;2;Sant Antoni de Portmany
 Pacha Hotel;4.4;€175;4;Ibiza Town
 Hostal Sunset Ibiza;N/A;€48;3;Sant Antoni de Portmany
 The Standard, Ibiza;4.7;€168;5;Ibiza City Centre, Ibiza Town
 PAIISE Hotels;N/A;€119;3;Sant Josep de sa Talaia
 Apartamentos San Francisco;3.9;€100;3;Sant Antoni de Portmany
 Play Hotel Ibiza;N/A;€112;1;Ibiza City Centre, Ibiza Town
 Apartamentos del Rey;3.5;€162;2;Sant Joan de Labritja
 Grand Hotel Palladium;4.5;€984;5;Santa Eulalia del Rio
 Agroturismo Can Pere Sord;4.5;€140;4;Sant Joan de Labritja
 Boutique Apartments Marsol Ibiza;4.3;€199;4;Santa Eulalia del Rio
 Hostal Santa Eulariaz;N/A;€603;0;Ibiza City Centre, Ibiza Town
