Nombre;Puntuacion;Precio;Estrellas;Direccion
 Eurostars Rey Fernando;4;€59;4;Zaragoza ·  8.46 km from city centre
 Paris Centro;N/A;€45;2;San Pablo, Zaragoza ·  0.51 km from city centre
 Hotel Don Jaime 54;4.3;€63;4;Zaragoza Old Town, Zaragoza ·  0.45 km from city centre
 Eurostars Zaragoza;3.5;€58;4;La Almozara, Zaragoza ·  2.39 km from city centre
 Hotel Pilar Plaza;3.8;€60;3;Zaragoza Old Town, Zaragoza ·  0.55 km from city centre
 Hotel Diagonal Plaza;4.3;€60;4;Zaragoza ·  9.50 km from city centre
 Hotel Cesaraugusta;3.4;€62;3;Delicias, Zaragoza ·  1.11 km from city centre
 Exe Boston;3.5;€72;4;La Magdalena, Zaragoza ·  0.83 km from city centre
 Hotel & Spa Real Ciudad De Zaragoza;3.7;€61;4;Zaragoza ·  8.05 km from city centre
 Hotel YIT Ciudad de Zaragoza​​​​​​​;3.3;€65;3;Zaragoza ·  3.05 km from city centre
 Catalonia El Pilar;4.5;€100;4;Zaragoza Old Town, Zaragoza ·  0.45 km from city centre
 Hotel Silken Reino de Aragón;4;€99;4;Zaragoza Old Town, Zaragoza ·  0.20 km from city centre
 Eurostars Plaza Delicias;3.7;€63;3;Delicias, Zaragoza ·  2.88 km from city centre
 Hotel Inca;3.9;€68;3;Zaragoza Old Town, Zaragoza ·  0.39 km from city centre
 Hotel Hiberus;4.1;€80;4;La Almozara, Zaragoza ·  2.44 km from city centre
 Hotel Goya;3.4;€89;4;Zaragoza Old Town, Zaragoza ·  0.13 km from city centre
 Tibur;3.3;€67;3;Zaragoza Old Town, Zaragoza ·  0.49 km from city centre
 Zentral Ave;4.4;€89;4;La Almozara, Zaragoza ·  2.42 km from city centre
 NH Sport;3.8;€66;3;Delicias, Zaragoza ·  1.22 km from city centre
 Hotel Palafox;4;€126;5;Zaragoza Old Town, Zaragoza ·  0.41 km from city centre
 B&B Hotel Zaragoza Royal;N/A;€67;3;Zaragoza Centro, Zaragoza ·  0.94 km from city centre
 Reina Petronila;4.3;€129;5;Romareda, Zaragoza ·  2.73 km from city centre
 Sercotel Plaza Feria;3.8;€83;4;Zaragoza ·  9.31 km from city centre
 Hotel Avenida;4;€93;3;San Pablo, Zaragoza ·  0.44 km from city centre
 INNSiDE by Meliá Zaragoza;4.5;€122;4;San Pablo, Zaragoza ·  0.43 km from city centre
 B&B Hotel Zaragoza Plaza Mozart;3.9;€62;0;La Jota, Zaragoza ·  1.75 km from city centre
 Vincci Zaragoza Zentro;4.1;€127;4;Zaragoza Old Town, Zaragoza ·  0.30 km from city centre
 Hotel Oriente;3.9;€85;3;Zaragoza Old Town, Zaragoza ·  0.19 km from city centre
 NH Ciudad de Zaragoza;4.3;€113;4;Zaragoza Old Town, Zaragoza ·  0.61 km from city centre
 ibis Styles Zaragoza Ramiro I;3.7;€91;3;La Magdalena, Zaragoza ·  0.52 km from city centre
 Hotel Río Arga;3.7;€72;2;Zaragoza Old Town, Zaragoza ·  0.29 km from city centre
 NH Collection Gran Hotel de Zaragoza;4.4;€153;4;Zaragoza Old Town, Zaragoza ·  0.37 km from city centre
 Exe Zaragoza WTC;4.3;€67;4;Actur, Zaragoza ·  1.89 km from city centre
 Hotel Alfonso;4.1;€117;4;Zaragoza Old Town, Zaragoza ·  0.17 km from city centre
 Hotel ILUNION Romareda;4.1;€100;4;Romareda, Zaragoza ·  2.52 km from city centre
 VTZ Hotel El Príncipe;3;€96;3;Zaragoza Old Town, Zaragoza ·  0.39 km from city centre
 Camping de Zaragoza;N/A;€127;2;Zaragoza ·  5.28 km from city centre
 Hotel Monumento Almenara de Copau;4.1;€144;3;Zaragoza ·  9.05 km from city centre
 Casa Palacios de los Sitios;4.1;€183;2;La Magdalena, Zaragoza ·  0.69 km from city centre
 Apartamentos Zaragoza Gran Via 3000;N/A;€2,700;3;Zaragoza Centro, Zaragoza ·  0.95 km from city centre
 Apartamentos el Pilar Suites 3000;N/A;€2,700;3;Actur, Zaragoza ·  2.77 km from city centre
