Nombre,Puntuacion,Precio,Estrellas,Llaves,Direccion,web,zona,Nombre_norm
M. Hotel,8.9,67.0,4 estrellas,0 llaves,Sant Antoni de Portmany,Amimir,Ibiza,m.
Hostal Mari,8.6,53.0,2 estrellas,0 llaves,Sant Antoni de Portmany,Amimir,Ibiza,mari
Hotel Moon Dreams Paraiso,8.7,73.0,3 estrellas,0 llaves,Es Canar,Amimir,Ibiza,moon dreams paraiso
Duquesa Playa,8.6,77.0,4 estrellas,0 llaves,Santa Eulària des Riu,Amimir,Ibiza,duquesa playa
San Francisco Apartments,8.1,89.0,0 estrellas,3 llaves,Sant Antoni de Portmany,Amimir,Ibiza,san francisco
Royal Plaza,8.3,71.0,4 estrellas,0 llaves,Ibiza Ciudad,Amimir,Ibiza,royal plaza
Marsol,9.1,143.0,0 estrellas,4 llaves,Santa Eulària des Riu,Amimir,Ibiza,marsol
THB Los Molinos,9.0,88.0,4 estrellas,0 llaves,Ibiza Ciudad,Amimir,Ibiza,thb molinos
Hotel Florencio,8.6,45.0,2 estrellas,0 llaves,Sant Antoni de Portmany,Amimir,Ibiza,florencio
Hotel Marino,8.7,61.0,2 estrellas,0 llaves,Sant Antoni de Portmany,Amimir,Ibiza,marino
Hostal Santa Eulalia,7.8,60.0,2 estrellas,0 llaves,Santa Eulària des Riu,Amimir,Ibiza,santa eulalia
Hotel Moon Dreams Paraiso - Adults Recommended,8.4,85.0,3 estrellas,0 llaves,Es Canar,Amimir,Ibiza,moon dreams paraiso adults recommended
The Standard Ibiza,8.8,159.0,5 estrellas,0 llaves,Ibiza Ciudad,Amimir,Ibiza,the standard
Hostal Sunset,7.5,47.0,0 estrellas,0 llaves,Sant Antoni de Portmany,Amimir,Ibiza,sunset
All Suite Ibiza Aparthotel,8.3,131.0,0 estrellas,0 llaves,Sant Antoni de Portmany,Amimir,Ibiza,all
Hotel Puchet Ibiza,7.8,76.0,3 estrellas,0 llaves,Sant Antoni de Portmany,Amimir,Ibiza,puchet
El Hotel Pacha,8.9,113.0,4 estrellas,0 llaves,Ibiza Ciudad,Amimir,Ibiza,pacha
Apartamentos Albertos,7.1,200.0,0 estrellas,0 llaves,Santa Eulària des Riu,Amimir,Ibiza,albertos
Ocean Drive Ibiza,8.0,79.0,4 estrellas,0 llaves,Ibiza Ciudad,Amimir,Ibiza,ocean drive
Cisne by Nests Hostels,6.2,29.0,0 estrellas,0 llaves,Sant Antoni de Portmany,Amimir,Ibiza,cisne
Hostal Costa Ibiza,7.9,60.0,1 estrellas,0 llaves,Ibiza Ciudad,Amimir,Ibiza,costa
Ses Figueres,8.6,75.0,3 estrellas,0 llaves,Ibiza Ciudad,Amimir,Ibiza,ses figueres
