Nombre,Puntuacion,Precio,Estrellas,Llaves,Direccion,web,zona,Nombre_norm
Vertice Sevilla,8.2,62.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,vertice
Virgen de los Reyes Affiliated by Senator,8.4,85.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,virgen reyes
Hotel Sevilla Center,9.0,114.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,center
abba Sevilla Hotel,8.8,168.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,abba
Macià Sevilla Kubb,8.6,84.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,macià kubb
Vértice Sevilla Aljarafe,8.8,51.0,4 estrellas,0 llaves,Bormujos,Amimir,Sevilla,vertice aljarafe
Hotel YIT Via Sevilla Mairena,7.9,61.0,4 estrellas,0 llaves,Mairena del Aljarafe,Amimir,Sevilla,yit via mairena
Manolo Mayo,8.4,59.0,4 estrellas,0 llaves,Los Palacios y Villafranca,Amimir,Sevilla,manolo mayo
Hotel Abades Benacazon,8.0,52.0,4 estrellas,0 llaves,Benacazón,Amimir,Sevilla,abades benacazon
Hostel One Catedral,7.8,18.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,one catedral
Domocenter Apartamentos Turísticos,7.6,37.0,0 estrellas,3 llaves,Bormujos,Amimir,Sevilla,domocenter turisticos
Apartamentos Vértice Sevilla Aljarafe,8.3,51.0,0 estrellas,3 llaves,Bormujos,Amimir,Sevilla,vertice aljarafe
Don Paco,8.0,67.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,don paco
Exe Gran Hotel Solúcar,8.1,43.0,4 estrellas,0 llaves,Sanlúcar la Mayor,Amimir,Sevilla,exe gran solucar
Exe Sevilla Macarena,8.0,79.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,exe macarena
Alcazar De La Reina,8.8,61.0,4 estrellas,0 llaves,Carmona,Amimir,Sevilla,alcazar reina
Catalonia Giralda,9.2,108.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,catalonia giralda
El Ancla,7.7,30.0,2 estrellas,0 llaves,Alcalá del Río,Amimir,Sevilla,ancla
The Nomad Hostel,8.7,18.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,the nomad
Hotel Infanta Leonor,9.0,97.0,4 estrellas,0 llaves,Écija,Amimir,Sevilla,infanta leonor
Ilunion Alcora Sevilla,8.1,67.0,4 estrellas,0 llaves,San Juan de Aznalfarache,Amimir,Sevilla,ilunion alcora
Hotel Sol Sanlucar,7.5,49.0,3 estrellas,0 llaves,Sanlúcar la Mayor,Amimir,Sevilla,sol sanlucar
Sevilla Kitsch Hostel Art,7.1,20.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,kitsch art
La Casona de Calderon,7.5,60.0,4 estrellas,0 llaves,Osuna,Amimir,Sevilla,casona calderon
Las Casas De La Judería Sevilla,8.3,117.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,las casas juderia
Hotel Veracruz,8.9,62.0,3 estrellas,0 llaves,Utrera,Amimir,Sevilla,veracruz
Platería,8.2,53.0,2 estrellas,0 llaves,Écija,Amimir,Sevilla,plateria
Apartamentos Turisticos La Terraza,8.3,66.0,0 estrellas,3 llaves,Las Cabezas de San Juan,Amimir,Sevilla,turisticos terraza
La Flamenka Hostel,8.2,16.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,flamenka
Catalonia Santa Justa,9.0,77.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,catalonia santa justa
Hotel Palacio del Marqués de la Gomera,8.8,80.0,4 estrellas,0 llaves,Osuna,Amimir,Sevilla,palacio marques gomera
CoolRooms Palacio Villapanés 5 GL,9.2,349.0,5 estrellas,0 llaves,Sevilla,Amimir,Sevilla,coolrooms palacio panes gl
Posada Pilatos,9.4,149.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,posada pilatos
Énfasis Hotel,10.0,53.0,2 estrellas,0 llaves,El Cuervo de Sevilla,Amimir,Sevilla,enfasis
Apartamentos Singular Pilatos,7.8,89.0,0 estrellas,3 llaves,Sevilla,Amimir,Sevilla,singular pilatos
Fernando III,9.3,127.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,fernando iii
Hotel Colón Gran Meliá,9.1,333.0,5 estrellas,0 llaves,Sevilla,Amimir,Sevilla,colon gran melia
El Rincon de las Descalzas,8.1,49.0,3 estrellas,0 llaves,Carmona,Amimir,Sevilla,rincon las descalzas
La Casa del Duque,8.3,75.0,3 estrellas,0 llaves,Osuna,Amimir,Sevilla,casa duque
