Nombre,Puntuacion,Precio,Estrellas,Llaves,Direccion,web,zona,Nombre_norm
Hotel Zentral Ave,8.7,76.0,4 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,zentral ave
Apartamentos El Pilar 3000,8.4,80.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,pilar
Gran Via,8.4,56.0,3 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,gran via
Hotel Pilar Plaza,8.7,50.0,3 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,pilar plaza
Hotel Eurostars Zaragoza,7.8,55.0,4 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,eurostars
Hotel Monasterio Benedictino,8.7,60.0,4 estrellas,0 llaves,Calatayud,Amimir,Zaragoza,monasterio benedictino
Exe Boston,8.6,73.0,4 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,exe boston
Europa,8.8,68.0,4 estrellas,0 llaves,Utebo,Amimir,Zaragoza,europa
Hotel Zaragoza Royal,7.9,53.0,3 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,royal
Alda Triskel,8.3,42.0,3 estrellas,0 llaves,Sos del Rey Católico,Amimir,Zaragoza,alda triskel
INNSiDE Zaragoza,9.4,130.0,4 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,innside
Hotel Palafox,8.2,128.0,5 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,palafox
NH Sport,7.8,61.0,3 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,nh sport
Hotel Cesaraugusta,7.9,59.0,3 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,cesaraugusta
Globales Castillo de Ayud,8.3,50.0,3 estrellas,0 llaves,Calatayud,Amimir,Zaragoza,globales castillo ayud
Oriente,8.9,77.0,3 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,oriente
Cienbalcones Hotel,7.6,57.0,3 estrellas,0 llaves,Daroca,Amimir,Zaragoza,cienbalcones
Hotel Gomar,8.3,42.0,2 estrellas,0 llaves,San Martín de la Virgen del Moncayo,Amimir,Zaragoza,gomar
Mesón de la Dolores,9.1,74.0,3 estrellas,0 llaves,Calatayud,Amimir,Zaragoza,meson dolores
Hotel Alfonso,9.0,107.0,4 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,alfonso
Apartahotel Los Girasoles,9.2,78.0,4 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,aparta girasoles
NH Collection Gran Hotel de Zaragoza,8.9,114.0,4 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,nh collection gran
Hospedería De Sádaba,8.2,71.0,3 estrellas,0 llaves,Sádaba,Amimir,Zaragoza,hospederia sadaba
Hotel París Centro,6.4,44.0,2 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,paris centro
Fornos,8.7,49.0,2 estrellas,0 llaves,Calatayud,Amimir,Zaragoza,fornos
Apartahotel Belchite,9.4,85.0,3 estrellas,0 llaves,Belchite,Amimir,Zaragoza,aparta belchite
Hotel Diagonal Plaza,9.3,89.0,4 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,diagonal plaza
Hostal Casa Marzo,7.6,86.0,3 estrellas,0 llaves,Cariñena,Amimir,Zaragoza,casa marzo
Real Posada de Liena,8.9,104.0,3 estrellas,0 llaves,Murillo de Gállego,Amimir,Zaragoza,real posada liena
La Casona de la Reina Berta,9.2,110.0,3 estrellas,0 llaves,Murillo de Gállego,Amimir,Zaragoza,casona reina berta
Vincci Zaragoza Zentro,9.0,101.0,4 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,vincci zentro
Encanto Tarazona,8.7,88.0,3 estrellas,0 llaves,Tarazona,Amimir,Zaragoza,encanto tara
Hotel Hispania,8.5,64.0,2 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,hispania
Hotel Balneario de la Virgen,7.3,79.0,3 estrellas,0 llaves,Jaraba,Amimir,Zaragoza,balneario virgen
Hotel Chané,8.5,60.0,2 estrellas,0 llaves,La Puebla de Alfindén,Amimir,Zaragoza,chane
Silken Reino de Aragón,8.8,127.0,4 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,silken reino aragon
Hotel Don Jaime 54,9.0,53.0,3 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,don jaime
La Merced de la Concordia,,80.0,4 estrellas,0 llaves,Tarazona,Amimir,Zaragoza,merced concordia
Las Ventas,8.4,49.0,3 estrellas,0 llaves,Utebo,Amimir,Zaragoza,las ventas
Kadrit Hotel,8.9,75.0,4 estrellas,0 llaves,Cadrete,Amimir,Zaragoza,kadrit
Hesperia Zaragoza Centro,8.4,75.0,3 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,hesperia centro
