Nombre,Puntuación,Precio,Estrellas,Llaves,Direccion,ciudad,web,Puntuacion
M. Hotel,8.9,67 €,4 estrellas,0 llaves,Sant Antoni de Portmany,Ibiza,Amimir,
Hostal Mari,8.6,53 €,2 estrellas,0 llaves,Sant Antoni de Portmany,Ibiza,Amimir,
Hotel Moon Dreams Paraiso,8.7,73 €,3 estrellas,0 llaves,Es Canar,Ibiza,Amimir,
Duquesa Playa,8.6,77 €,4 estrellas,0 llaves,Santa Eulària des Riu,Ibiza,Amimir,
San Francisco Apartments,8.1,89 €,0 estrellas,3 llaves,Sant Antoni de Portmany,Ibiza,Amimir,
Royal Plaza,8.3,71 €,4 estrellas,0 llaves,Ibiza Ciudad,Ibiza,Amimir,
Marsol,9.1,143 €,0 estrellas,4 llaves,Santa Eulària des Riu,Ibiza,Amimir,
THB Los Molinos,9.0,88 €,4 estrellas,0 llaves,Ibiza Ciudad,Ibiza,Amimir,
Hotel Florencio,8.6,45 €,2 estrellas,0 llaves,Sant Antoni de Portmany,Ibiza,Amimir,
Hotel Marino,8.7,61 €,2 estrellas,0 llaves,Sant Antoni de Portmany,Ibiza,Amimir,
Hostal Santa Eulalia,7.8,60 €,2 estrellas,0 llaves,Santa Eulària des Riu,Ibiza,Amimir,
Hotel Moon Dreams Paraiso - Adults Recommended,8.4,85 €,3 estrellas,0 llaves,Es Canar,Ibiza,Amimir,
The Standard Ibiza,8.8,159 €,5 estrellas,0 llaves,Ibiza Ciudad,Ibiza,Amimir,
Hostal Sunset,7.5,47 €,0 estrellas,0 llaves,Sant Antoni de Portmany,Ibiza,Amimir,
All Suite Ibiza Aparthotel,8.3,131 €,0 estrellas,0 llaves,Sant Antoni de Portmany,Ibiza,Amimir,
Hotel Puchet Ibiza,7.8,76 €,3 estrellas,0 llaves,Sant Antoni de Portmany,Ibiza,Amimir,
El Hotel Pacha,8.9,113 €,4 estrellas,0 llaves,Ibiza Ciudad,Ibiza,Amimir,
Apartamentos Albertos,7.1,200 €,0 estrellas,0 llaves,Santa Eulària des Riu,Ibiza,Amimir,
Ocean Drive Ibiza,8.0,79 €,4 estrellas,0 llaves,Ibiza Ciudad,Ibiza,Amimir,
Cisne by Nests Hostels,6.2,29 €,0 estrellas,0 llaves,Sant Antoni de Portmany,Ibiza,Amimir,
Hostal Costa Ibiza,7.9,60 €,1 estrellas,0 llaves,Ibiza Ciudad,Ibiza,Amimir,
Ses Figueres,8.6,75 €,3 estrellas,0 llaves,Ibiza Ciudad,Ibiza,Amimir,
Vistabella,9.3,189 €,4 estrellas,0 llaves,Sant Antoni de Portmany,Ibiza,Amimir,
La Bartola Guesthouse,8.4,40 €,0 estrellas,0 llaves,Ibiza Ciudad,Ibiza,Amimir,
PAIISE Hotels,8.2,97 €,3 estrellas,0 llaves,Sant Francesc de s'Estany,Ibiza,Amimir,
Coordenadas Ibiza,7.9,35 €,0 estrellas,0 llaves,Ibiza Ciudad,Ibiza,Amimir,
Dalt Vila House,8.2,343 €,0 estrellas,0 llaves,Ibiza Ciudad,Ibiza,Amimir,
La Torre Ibiza,9.2,53 €,0 estrellas,0 llaves,Sant Antoni de Portmany,Ibiza,Amimir,
Agroturismo Can Pere Sord,8.8,188 €,0 estrellas,0 llaves,Sant Joan de Labritja,Ibiza,Amimir,
Vertice Sevilla,8.2,62 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
