Nombre;Puntuación;Precio;Estrellas;Direccion
Hotel Florencio Ibiza;8,2;€ 76;2;San Antonio
Hostal Parque Ibiza;8,7;€ 53;0;Centro de Ibiza ciudad, Ibiza
PAIISE Hotels;8,3;€ 97;0;Sant Francesc de s'Estany
Hotel Vibra Marítimo;7,3;€ 85;3;Centro de Ibiza ciudad, Ibiza
Eurostars Puerto de Ibiza;8,5;€ 102;4;Centro de Ibiza ciudad, Ibiza
La Bartola Guesthouse;8,4;€ 40;0;Centro de Ibiza ciudad, Ibiza
Coordenadas Ibiza;7,9;€ 35;0;Centro de Ibiza ciudad, Ibiza
Ocean Drive Ibiza;8,1;€ 99;4;Ibiza
Hostal Marí;8,5;€ 60;2;San Antonio
Bon Sol Prestige - AB Group;8,5;€ 64;4;Playa d'en Bossa
Hostal Talamanca;7,8;€ 62;2;Talamanca
Hotel Moon Dreams Paraiso - Adults Recommended;8,6;€ 86;3;Es Canar
Cisne By Nest Hostel;6,1;€ 25;0;San Antonio
Pacha Hotel;9,0;€ 166;4;Ibiza
Play Hotel Ibiza - Adults Only;8,6;€ 84;1;Centro de Ibiza ciudad, Ibiza
Ibiza Boutique Guest House;8,5;€ 60;0;Centro de Ibiza ciudad, Ibiza
The Standard, Ibiza;8,8;€ 161;5;Centro de Ibiza ciudad, Ibiza
Montesol Experimental Ibiza;8,8;€ 177;5;Centro de Ibiza ciudad, Ibiza
Hotel Royal Plaza;8,0;€ 80;4;Centro de Ibiza ciudad, Ibiza
Eurostars Ibiza;8,6;€ 136;4;Centro de Ibiza ciudad, Ibiza
Hostal La Torre Ibiza Cap Negret;8,9;€ 87;4;San Antonio
Hotel Ses Figueres;8,5;€ 75;3;Talamanca
Hostal Rosell Boutique;9,4;€ 62;1;San Antonio
Hostal Costa;8,1;€ 60;1;Ibiza
Lux Isla;9,2;€ 91;3;Talamanca
Boutique Apartments Marsol Ibiza;9,0;€ 134;4;Santa Eulària des Riu
Aparthotel Duquesa Playa;8,8;€ 105;4;Santa Eulària des Riu
Hostal y Apartamentos Santa Eulalia;7,8;€ 61;2;Santa Eulària des Riu
azuLine Hostal Marino;8,3;€ 60;2;San Antonio
Hotel Rural Can Partit Adults Only-Ibiza;9,1;€ 143;4;Santa Inés
THB Los Molinos - Adults Only;8,6;€ 90;4;Centro de Ibiza ciudad, Ibiza
Hostal Sunset Ibiza;7,5;€ 55;3;San Antonio
Agroturismo Can Pere Sord;8,9;€ 196;4;Sant Joan de Labritja
azuLine Hotel M;8,7;€ 140;4;San Antonio
Apartamentos San Francisco;8,3;€ 94;3;San Antonio
Hostal Flamingo by Nest;7,4;€ 81;1;Es Canar
Can Vistabella Boutique Resort;9,4;€ 227;4;San Antonio
Studio in Jesús;9,3;€ 133;3;Nuestra Señora de Jesús
Hotel Puchet Ibiza;8,0;€ 104;3;San Antonio
Grand Hotel Palladium Santa Eulalia del Rio;9,0;€ 985;5;Santa Eulària des Riu
Villa Turquesa;9,0;€ 751;4;Es Cubells
Can Caseres;9,4;€ 3.042;4;Cala Llenya
Villa Wave;N/A;€ 10.175;4;Talamanca
Villa Roberto Ibiza;9,5;€ 1.154;4;Sant Josep de sa Talaia
Apartamentos Esmeralda Ibiza;8,2;€ 233;3;Ibiza
All Suite Ibiza Aparthotel;8,7;€ 132;4;San Antonio
Apartamento Ciel Azul;N/A;€ 768;4;Cala Llenya
Can Taika;N/A;€ 6.612;4;Port d'es Torrent
Apartamentos Albertos;8,0;€ 201;3;Santa Eulària des Riu
Apartment in Jesús;10;€ 187;4;Nuestra Señora de Jesús
Villa Es Cuco;8,8;€ 1.039;4;Port d'es Torrent
Beautiful Sea View Villa Minerva;N/A;€ 4.435;4;Sant Josep
Can Ribes Ibiza;Excepcional 9,6;€ 3.626;4;Sant Llorenç de Balàfia
Can Vishnu;N/A;€ 7.747;4;San José
Casa Cayama;N/A;€ 6.138;4;Es Cubells
JAMES SIB33 - contemporary design villa with pool Cap Martinet Ibiza;N/A;€ 6.008;4;Talamanca
Dalt Vila House;7,8;€ 343;3;Dalt Vila, Ibiza
Ca Nostra Ibiza;9,5;€ 2.583;4;Port d'es Torrent
Villa Beso;8,9;€ 1.154;4;San Antonio
Villa Amigo Near Las Dalias - Nice;N/A;€ 2.935;4;Cala Llenya
Can Pepe Pujolet;9,2;€ 1.224;4;Santa Gertrudis
Villa Lux Mar;N/A;€ 897;0;Cala Llenya
Can Andreuet;N/A;€ 3.472;4;Playa Aguas Bancas
La Diosa;N/A;€ 2.441;4;Roca Llisa
Can Palau;9,5;€ 3.681;4;Sant Llorenç de Balàfia
Velero Ariel;N/A;€ 1.306;0;Sant Josep
Apt with terrace and pool Steps from the sandy beach;N/A;€ 293;4;San Juan Bautista
Casita en Cala Llonga;8,0;€ 1.627;4;Cala Llonga
Villa Cas Hespero;10;€ 1.359;4;San Antonio
Mirage Ibiza;N/A;€ 18.001;5;Ibiza
Can Marsá de Baix;8,8;€ 2.573;4;Santa Eulària des Riu
Villa Ocean - Sunset Beach;8,5;€ 939;4;Bahía de San Antonio
Villa Sa Barda;8,7;€ 983;4;San Antonio
'Bohemian Pearl' - artsy oasis in the North of Ibiza;N/A;€ 1.301;4;Ibiza
Villa Olga - San Jose;7,8;€ 1.261;3;Sant Josep de sa Talaia
Can Lluc;9,0;€ 2.362;4;Can Furnet
Villa with charm and privacy;N/A;€ 995;0;Sant Rafel de sa Creu
JAMES SIB16 - stunning spacious luxury villa in the heart of Ibiza Town;Excepcional 10;€ 3.548;4;Ibiza
