Nombre;Puntuación;Precio;Estrellas;Llaves;Direccion
Hotel Zentral Ave;8.7;76 €;4 estrellas;0 llaves;Zaragoza
Apartamentos El Pilar 3000;8.4;80 €;0 estrellas;0 llaves;Zaragoza
Gran Via;8.4;56 €;3 estrellas;0 llaves;Zaragoza
Hotel Pilar Plaza;8.7;50 €;3 estrellas;0 llaves;Zaragoza
Hotel Eurostars Zaragoza;7.8;55 €;4 estrellas;0 llaves;Zaragoza
Hotel Monasterio Benedictino;8.7;60 €;4 estrellas;0 llaves;Calatayud
Exe Boston;8.6;73 €;4 estrellas;0 llaves;Zaragoza
Europa;8.8;68 €;4 estrellas;0 llaves;Utebo
Hotel Zaragoza Royal;7.9;53 €;3 estrellas;0 llaves;Zaragoza
Alda Triskel;8.3;42 €;3 estrellas;0 llaves;Sos del Rey Católico
INNSiDE Zaragoza;9.4;130 €;4 estrellas;0 llaves;Zaragoza
Hotel Palafox;8.2;128 €;5 estrellas;0 llaves;Zaragoza
NH Sport;7.8;61 €;3 estrellas;0 llaves;Zaragoza
Hotel Cesaraugusta;7.9;59 €;3 estrellas;0 llaves;Zaragoza
Globales Castillo de Ayud;8.3;50 €;3 estrellas;0 llaves;Calatayud
Oriente;8.9;77 €;3 estrellas;0 llaves;Zaragoza
Cienbalcones Hotel;7.6;57 €;3 estrellas;0 llaves;Daroca
Hotel Gomar;8.3;42 €;2 estrellas;0 llaves;San Martín de la Virgen del Moncayo
Mesón de la Dolores;9.1;74 €;3 estrellas;0 llaves;Calatayud
Hotel Alfonso;9;107 €;4 estrellas;0 llaves;Zaragoza
Apartahotel Los Girasoles;9.2;78 €;4 estrellas;0 llaves;Zaragoza
NH Collection Gran Hotel de Zaragoza;8.9;114 €;4 estrellas;0 llaves;Zaragoza
Hospedería De Sádaba;8.2;71 €;3 estrellas;0 llaves;Sádaba
Hotel París Centro;6.4;44 €;2 estrellas;0 llaves;Zaragoza
Fornos;8.7;49 €;2 estrellas;0 llaves;Calatayud
Apartahotel Belchite;9.4;85 €;3 estrellas;0 llaves;Belchite
Hotel Diagonal Plaza;9.3;89 €;4 estrellas;0 llaves;Zaragoza
Hostal Casa Marzo;7.6;86 €;3 estrellas;0 llaves;Cariñena
Real Posada de Liena;8.9;104 €;3 estrellas;0 llaves;Murillo de Gállego
La Casona de la Reina Berta;9.2;110 €;3 estrellas;0 llaves;Murillo de Gállego
Vincci Zaragoza Zentro;9;101 €;4 estrellas;0 llaves;Zaragoza
Encanto Tarazona;8.7;88 €;3 estrellas;0 llaves;Tarazona
Hotel Hispania;8.5;64 €;2 estrellas;0 llaves;Zaragoza
Hotel Balneario de la Virgen;7.3;79 €;3 estrellas;0 llaves;Jaraba
Hotel Chané;8.5;60 €;2 estrellas;0 llaves;La Puebla de Alfindén
