Nombre;Puntuacion;Precio;Estrellas;Direccion
 Hotel Florencio;3.8;€36;3;Sant Antoni de Portmany
 THB Los Molinos Adults Only;4.1;€90;4;Ibiza City Centre, Ibiza Town
 Hotel Puchet;4;€85;3;Sant Antoni de Portmany
 Hotel Vibra Marítimo;4;€84;3;Ibiza City Centre, Ibiza Town
 Hotel Moon Dreams Paraíso;4.1;€70;3;Santa Eulalia del Rio
 Hostal La Torre;4;€40;1;Sant Antoni de Portmany
 Aparthotel Duquesa Playa;4.6;€84;4;Santa Eulalia del Rio
 Cisne by Nest Hostel;N/A;N/A;2;Sant Antoni de Portmany
 Eurostars Ibiza;4.1;€95;4;Ibiza City Centre, Ibiza Town
 Hotel Royal Plaza;3.7;N/A;4;Ibiza City Centre, Ibiza Town
 Core Ibiza Town Hotel;N/A;€132;4;Ibiza City Centre, Ibiza Town
 Hostal Marino;4.4;€68;2;Sant Antoni de Portmany
 Hostal Parque Ibiza;3.5;N/A;3;Ibiza City Centre, Ibiza Town
 PAIISE Hotels;N/A;N/A;3;Sant Josep de sa Talaia
 Pacha Hotel;4.4;N/A;4;Ibiza Town
 Ocean Drive Ibiza;4.2;N/A;4;Ibiza Town
 Apartamentos San Francisco;3.9;N/A;3;Sant Antoni de Portmany
 Hostal Juanita;3.8;N/A;3;Ibiza City Centre, Ibiza Town
 Montesol Experimental Ibiza;4.2;N/A;5;Ibiza City Centre, Ibiza Town
 The Standard, Ibiza;4.6;N/A;5;Ibiza City Centre, Ibiza Town
 Play Hotel Ibiza;N/A;N/A;1;Ibiza City Centre, Ibiza Town
 Can Vistabella Boutique Resort;4.7;N/A;4;Sant Antoni de Portmany
 Grand Hotel Palladium;4.5;N/A;5;Santa Eulalia del Rio
 Agroturismo Sa Marina Ibiza;N/A;N/A;3;Santa Eulalia del Rio
 Hostal Santa Eulariaz;N/A;N/A;0;Ibiza City Centre, Ibiza Town
