Nombre;Puntuacion;Precio;Estrellas;Direccion
 Exe Sevilla Macarena;3.5;€52;4;Distrito Macarena, Seville ·  1.95 km from city centre
 Virgen de los Reyes Hotel;4;€55;4;Distrito San Pablo-Santa Justa, Seville ·  2.07 km from city centre
 Hotel y Apartamentos Doña Lola;3.5;€54;3;Historical Center, Seville ·  0.97 km from city centre
 Eurostars Al-Ándalus Palace;3.9;€50;4;Bellavista-La Palmera, Seville ·  3.69 km from city centre
 JOY Plaza de Armas;4.3;€18;0;Historical Center, Seville ·  0.93 km from city centre
 Exe Sevilla Palmera;3.5;€49;4;Bellavista-La Palmera, Seville ·  2.57 km from city centre
 Casual de las Letras Sevilla Hotel;4.1;€46;2;Historical Center, Seville ·  0.81 km from city centre
 Catalonia Santa Justa;4.1;€63;4;Distrito San Pablo-Santa Justa, Seville ·  1.18 km from city centre
 Exe Isla Cartuja;3.2;€50;4;Triana, Seville ·  3.48 km from city centre
 Pasarela;3.3;€57;4;Sur, Seville ·  1.23 km from city centre
 U-Sense For You Hostel Sevilla;4.1;€19;2;Historical Center, Seville ·  0.86 km from city centre
 Hotel Eurostars Regina;3.7;€57;3;Historical Center, Seville ·  1.55 km from city centre
 Hotel Macià Sevilla Kubb;4.1;€76;4;San Roque, Seville ·  0.90 km from city centre
 Hotel Sevilla Center;4.2;€83;4;Sur, Seville ·  1.20 km from city centre
 Catalonia Giralda Hotel;3.9;€83;4;Historical Center, Seville ·  0.79 km from city centre
 Ibis Budget Sevilla Aeropuerto;3.7;€53;1;Distrito Norte, Seville ·  4.51 km from city centre
 Casa Romana Hotel Boutique;4.1;€65;4;Historical Center, Seville ·  0.98 km from city centre
 Catalonia Híspalis;3.5;€54;3;Distrito Cerro-Amate, Seville ·  4.38 km from city centre
 San Pablo;3.7;€54;3;Este-Alcosa-Torreblanca, Seville ·  6.08 km from city centre
 Ibis Sevilla;4;€58;1;Distrito Norte, Seville ·  4.39 km from city centre
 Abba Sevilla;4.4;€86;4;Historical Center, Seville ·  0.67 km from city centre
 Reyes Católicos;3.4;€61;3;Historical Center, Seville ·  0.80 km from city centre
 Hotel Vértice Sevilla;3.9;€72;4;Este-Alcosa-Torreblanca, Seville ·  6.32 km from city centre
 Hotel Doña Maria;3.9;€90;4;Historical Center, Seville ·  0.03 km from city centre
 Pensión La Montoreña;3.3;N/A;2;Historical Center, Seville ·  0.52 km from city centre
 Hotel Sercotel Doña Carmela;4;€54;3;Bellavista-La Palmera, Seville ·  6.95 km from city centre
 Ibis Styles Sevilla City Santa Justa;4.3;€81;3;Huerta del Pilar, Seville ·  1.20 km from city centre
 Hotel Patio de la Alameda;4.3;€66;3;Historical Center, Seville ·  1.54 km from city centre
 Hotel M.A. Sevilla Congresos;3.8;€60;4;Este-Alcosa-Torreblanca, Seville ·  5.88 km from city centre
 Hotel San Gil Sevilla;3.7;€71;4;Historical Center, Seville ·  1.74 km from city centre
 Hotel Murillo;4.1;N/A;2;Historical Center, Seville ·  0.24 km from city centre
 Hotel Palace Sevilla;3.7;N/A;4;Historical Center, Seville ·  0.79 km from city centre
 Hilton Garden Inn Sevilla;4.3;€71;4;Distrito Norte, Seville ·  4.98 km from city centre
 Hotel Las Casas de la Judería;4.1;€106;4;Historical Center, Seville ·  0.40 km from city centre
 Hotel Don Pedro;3.9;€62;1;Historical Center, Seville ·  0.89 km from city centre
 Pension Azahar;N/A;N/A;3;Historical Center, Seville ·  0.67 km from city centre
 Only YOU Hotel Sevilla;4.9;€137;5;Distrito San Pablo-Santa Justa, Seville ·  1.58 km from city centre
 Eurostars Torre Sevilla;4;€95;5;Triana, Seville ·  1.72 km from city centre
 Eurostars Sevilla Boutique;4.1;€89;4;Historical Center, Seville ·  0.10 km from city centre
 NH Collection Sevilla;4.4;€80;4;Sur, Seville ·  1.87 km from city centre
 Itaca Artemisa by Soho Boutique;4.2;€62;3;Historical Center, Seville ·  1.08 km from city centre
 AC Hotel Sevilla Fórum by Marriott;3.5;€71;4;Macarena Norte, Seville ·  4.76 km from city centre
 Hostal Alcobia;N/A;N/A;3;Historical Center, Seville ·  0.65 km from city centre
 NH Sevilla Plaza de Armas;4.1;€101;4;Historical Center, Seville ·  0.98 km from city centre
 Apartamentos Vértice Bib Rambla;4;€58;2;Este-Alcosa-Torreblanca, Seville ·  6.06 km from city centre
 Murillo;4.1;N/A;2;Historical Center, Seville ·  0.24 km from city centre
 Black Swan Hostel Sevilla;4.6;N/A;2;Historical Center, Seville ·  0.54 km from city centre
 Hotel Ribera de Triana;4.1;€100;4;Triana, Seville ·  1.42 km from city centre
 Hotel Goya;4.1;N/A;2;Historical Center, Seville ·  0.20 km from city centre
 Novotel Sevilla;4.2;€92;4;Sur, Seville ·  1.80 km from city centre
 Hotel Don Paco;3.7;N/A;3;Historical Center, Seville ·  0.87 km from city centre
 The Nomad Hostel;4.5;N/A;2;Historical Center, Seville ·  0.71 km from city centre
