Nombre;Puntuacion;Precio;Estrellas;Direccion
 Eurostars Zaragoza;3.5;€49;4;La Almozara, Zaragoza ·  2.39 km from city centre
 Hotel Don Jaime 54;4.3;€51;4;Zaragoza Old Town, Zaragoza ·  0.45 km from city centre
 Paris Centro;3.1;€45;2;San Pablo, Zaragoza ·  0.51 km from city centre
 NH Sport;3.8;€45;3;Delicias, Zaragoza ·  1.22 km from city centre
 Hotel Pilar Plaza;3.8;€55;3;Zaragoza Old Town, Zaragoza ·  0.55 km from city centre
 Eurostars Rey Fernando;4;€54;4;Zaragoza ·  8.46 km from city centre
 Hotel Cesaraugusta;3.4;€56;3;Delicias, Zaragoza ·  1.11 km from city centre
 Gran Via;3.6;€56;3;Zaragoza Centro, Zaragoza ·  1.10 km from city centre
 NH Ciudad de Zaragoza;4.3;€60;4;Zaragoza Old Town, Zaragoza ·  0.61 km from city centre
 Hotel Inca;3.9;€60;3;Zaragoza Old Town, Zaragoza ·  0.39 km from city centre
 Exe Boston;3.5;N/A;4;La Magdalena, Zaragoza ·  0.83 km from city centre
 ibis Styles Zaragoza Ramiro I;3.7;€62;3;La Magdalena, Zaragoza ·  0.52 km from city centre
 Hotel Silken Reino de Aragón;4;€90;4;Zaragoza Old Town, Zaragoza ·  0.20 km from city centre
 Hotel Hiberus;4.1;€77;4;La Almozara, Zaragoza ·  2.44 km from city centre
 Hesperia Zaragoza Centro;3.8;N/A;3;San Pablo, Zaragoza ·  0.63 km from city centre
 Catalonia El Pilar;4.5;€90;4;Zaragoza Old Town, Zaragoza ·  0.45 km from city centre
 NH Collection Gran Hotel de Zaragoza;4.4;€87;4;Zaragoza Old Town, Zaragoza ·  0.37 km from city centre
 Hotel Palafox;4;€130;5;Zaragoza Old Town, Zaragoza ·  0.41 km from city centre
 Zentral Ave;4.4;€80;4;La Almozara, Zaragoza ·  2.42 km from city centre
 B&B Hotel Zaragoza Centro;4;€60;2;Arrabal, Zaragoza ·  0.91 km from city centre
 Hotel & Spa Real Ciudad De Zaragoza;3.7;€62;4;Zaragoza ·  8.05 km from city centre
 Exe Zaragoza WTC;4.3;N/A;4;Actur, Zaragoza ·  1.89 km from city centre
 U Hotel Villa - Gomá;3.3;€63;3;Romareda, Zaragoza ·  2.64 km from city centre
 Hotel Oriente;3.9;€68;3;Zaragoza Old Town, Zaragoza ·  0.19 km from city centre
 Hotel Goya;3.4;€80;4;Zaragoza Old Town, Zaragoza ·  0.13 km from city centre
 Vincci Zaragoza Zentro;4.1;€110;4;Zaragoza Old Town, Zaragoza ·  0.30 km from city centre
 B&B Hotel Zaragoza Royal;N/A;€63;3;Zaragoza Centro, Zaragoza ·  0.94 km from city centre
 Hotel Avenida;4;€73;3;San Pablo, Zaragoza ·  0.44 km from city centre
 Hotel YIT Ciudad de Zaragoza​​​​​​​;3.3;N/A;3;Zaragoza ·  3.05 km from city centre
 Hotel Río Arga;3.7;N/A;2;Zaragoza Old Town, Zaragoza ·  0.29 km from city centre
 Eurostars Plaza Delicias;3.7;N/A;3;Delicias, Zaragoza ·  2.88 km from city centre
 Aparthotel Los Girasoles;4;€82;4;Zaragoza Old Town, Zaragoza ·  0.34 km from city centre
 Hotel Diagonal Plaza;4.3;N/A;4;Zaragoza ·  9.50 km from city centre
 Reina Petronila;4.3;N/A;5;Romareda, Zaragoza ·  2.73 km from city centre
 Tibur;3.3;N/A;3;Zaragoza Old Town, Zaragoza ·  0.49 km from city centre
 Casa Palacios de los Sitios;4.1;€69;2;La Magdalena, Zaragoza ·  0.69 km from city centre
 Sercotel Plaza Feria;3.8;N/A;4;Zaragoza ·  9.31 km from city centre
 Hotel Monumento Almenara de Copau;4.4;N/A;3;Zaragoza ·  9.05 km from city centre
 INNSiDE by Meliá Zaragoza;4.5;N/A;4;San Pablo, Zaragoza ·  0.43 km from city centre
 VTZ Hotel El Príncipe;3;N/A;3;Zaragoza Old Town, Zaragoza ·  0.39 km from city centre
 B&B Hotel Zaragoza Plaza Mozart;N/A;N/A;0;La Jota, Zaragoza ·  1.75 km from city centre
 Hotel Alfonso;4.1;N/A;4;Zaragoza Old Town, Zaragoza ·  0.17 km from city centre
 Silken Casa Platerias Siglo XV;4.2;N/A;3;Zaragoza Old Town, Zaragoza ·  0.40 km from city centre
 Suite Estébanes;N/A;N/A;3;Zaragoza Old Town, Zaragoza ·  0.16 km from city centre
 Hotel ILUNION Romareda;4.1;N/A;4;Romareda, Zaragoza ·  2.52 km from city centre
