Nombre;Puntuación;Precio;Estrellas;Llaves;Direccion
Vertice Sevilla;8.2;68 €;4 estrellas;0 llaves;Sevilla
Virgen de los Reyes Affiliated by Senator;8.4;83 €;4 estrellas;0 llaves;Sevilla
Hotel Sevilla Center;8.9;81 €;4 estrellas;0 llaves;Sevilla
Macià Sevilla Kubb;8.4;78 €;4 estrellas;0 llaves;Sevilla
Hostel One Catedral;7.8;18 €;2 estrellas;0 llaves;Sevilla
Exe Sevilla Macarena;8;55 €;4 estrellas;0 llaves;Sevilla
Don Paco;8;65 €;3 estrellas;0 llaves;Sevilla
Catalonia Giralda;9.2;84 €;4 estrellas;0 llaves;Sevilla
The Nomad Hostel;8.7;18 €;2 estrellas;0 llaves;Sevilla
Apartamentos Metropolis;8.9;53 €;0 estrellas;4 llaves;Sevilla
Sevilla Kitsch Hostel Art;7.1;19 €;2 estrellas;0 llaves;Sevilla
Petit Palace Santa Cruz;8.6;83 €;4 estrellas;0 llaves;Sevilla
Casa Palacio La Casa Blanca;9.8;199 €;0 estrellas;4 llaves;Sevilla
Fernando III;9.3;121 €;4 estrellas;0 llaves;Sevilla
Black Swan Hostel Sevilla;8.6;20 €;2 estrellas;0 llaves;Sevilla
Catalonia Santa Justa;9;70 €;4 estrellas;0 llaves;Sevilla
Pension Azahar;6.9;37 €;2 estrellas;0 llaves;Sevilla
Las Casas De La Judería Sevilla;8.3;98 €;4 estrellas;0 llaves;Sevilla
Pensión Pérez Montilla;7.8;40 €;2 estrellas;0 llaves;Sevilla
Singular Virgenes;7.8;78 €;0 estrellas;3 llaves;Sevilla
Itaca Boutique Artemisa;8.9;67 €;3 estrellas;0 llaves;Sevilla
Posada Pilatos;9.4;163 €;0 estrellas;4 llaves;Sevilla
Hotel Doña Blanca;8.4;45 €;2 estrellas;0 llaves;Sevilla
Slow Suites Setas;8.6;115 €;0 estrellas;4 llaves;Sevilla
Casa Sevilla 1855 Suites by Época;8.9;117 €;0 estrellas;4 llaves;Sevilla
Exe Sevilla Palmera;8.5;51 €;4 estrellas;0 llaves;Sevilla
Apartamentos Singular Pilatos;7.8;83 €;0 estrellas;3 llaves;Sevilla
Rey Alfonso X;9.2;132 €;4 estrellas;0 llaves;Sevilla
Casual Sevilla de las Letras;8.7;54 €;2 estrellas;0 llaves;Sevilla
Hotel Colón Gran Meliá;9.1;289 €;5 estrellas;0 llaves;Sevilla
Los Salados Holiday Rentals;8.8;62 €;0 estrellas;4 llaves;Sevilla
Only YOU Hotel Sevilla;9.5;150 €;5 estrellas;0 llaves;Sevilla
Overland Suites Catedral;8.9;126 €;0 estrellas;4 llaves;Sevilla
abba Sevilla Hotel;9.1;97 €;4 estrellas;0 llaves;Sevilla
Abanico;8.4;85 €;3 estrellas;0 llaves;Sevilla
Aguilas5 SevillaSuites;9.4;232 €;0 estrellas;4 llaves;Sevilla
La Flamenka Hostel;8.2;16 €;2 estrellas;0 llaves;Sevilla
Hostel A2C;7.6;17 €;2 estrellas;0 llaves;Sevilla
CoolRooms Palacio Villapanés 5 GL;9.2;243 €;5 estrellas;0 llaves;Sevilla
Amadeus;9.3;133 €;4 estrellas;0 llaves;Sevilla
