Nombre;Puntuación;Precio;Estrellas;Direccion
La Bartola Guesthouse;8,4;€ 40;0;Centro de Ibiza ciudad, Ibiza
Play Hotel Ibiza - Adults Only;8,6;€ 81;1;Centro de Ibiza ciudad, Ibiza
Hostal Parque Ibiza;8,7;€ 80;0;Centro de Ibiza ciudad, Ibiza
Hotel Vibra Marítimo;7,3;€ 90;3;Centro de Ibiza ciudad, Ibiza
Eurostars Ibiza;8,6;€ 109;4;Centro de Ibiza ciudad, Ibiza
Hostal Ibiza;7,6;€ 59;0;Centro de Ibiza ciudad, Ibiza
Juanita Hostal;8,5;€ 61;0;Centro de Ibiza ciudad, Ibiza
Hotel Royal Plaza;8,0;€ 87;4;Centro de Ibiza ciudad, Ibiza
The Standard, Ibiza;8,7;€ 184;5;Centro de Ibiza ciudad, Ibiza
Montesol Experimental Ibiza;8,8;€ 175;5;Centro de Ibiza ciudad, Ibiza
Ocean Drive Ibiza;8,0;€ 159;4;Ibiza
Pacha Hotel;9,0;€ 166;4;Ibiza
Boutique Hostal La Curandera de Salinas;8,9;€ 100;0;Ibiza
Core Ibiza Town Hotel;8,7;€ 144;4;Centro de Ibiza ciudad, Ibiza
THB Los Molinos - Adults Only;8,6;€ 102;4;Centro de Ibiza ciudad, Ibiza
Centro Ibiza Catamaranes y Velero;10;€ 270;0;Centro de Ibiza ciudad, Ibiza
Close to Ushuaia and Hi - Pool - Steps to the beach;5,0;€ 952;3;Ibiza
JAMES SIB16 - stunning spacious luxury villa in the heart of Ibiza Town;Excepcional 10;€ 3.548;4;Ibiza
Mirage Ibiza;N/A;€ 18.001;5;Ibiza
Villa Wave;N/A;€ 5.367;4;Ibiza
'Bohemian Pearl' - artsy oasis in the North of Ibiza;N/A;€ 1.301;4;Ibiza
Dalt Vila House;8,0;€ 708;3;Dalt Vila, Ibiza
Casa en el centro de Ibiza;6,5;€ 722;3;Ibiza
Apartamento para 6 en playa den bossa;N/A;€ 686;0;Ibiza
Hostal Talamanca;7,8;€ 62;2;Talamanca
