Nombre;Puntuacion;Precio;Estrellas;Direccion
 Hotel Vibra Marítimo;4;€53;3;Ibiza City Centre, Ibiza Town
 THB Los Molinos Adults Only;4.1;€93;4;Ibiza City Centre, Ibiza Town
 Hotel Puchet Ibiza;4;€76;3;Sant Antoni de Portmany
 Hotel Moon Dreams Paraíso;4.1;€78;3;Santa Eulalia del Rio
 Aparthotel Duquesa Playa;4.6;€85;4;Santa Eulalia del Rio
 Cisne by Nest Hostel;N/A;N/A;2;Sant Antoni de Portmany
 Hostal La Torre;4;€44;1;Sant Antoni de Portmany
 Core Ibiza Town Hotel;N/A;€113;4;Ibiza City Centre, Ibiza Town
 Eurostars Ibiza;4.1;€92;4;Ibiza City Centre, Ibiza Town
 Hostal Marino;4.4;€71;2;Sant Antoni de Portmany
 Hotel Florencio;3.8;N/A;3;Sant Antoni de Portmany
 Hotel Royal Plaza;3.7;N/A;4;Ibiza City Centre, Ibiza Town
 PAIISE Hotels;N/A;N/A;3;Sant Josep de sa Talaia
 Ocean Drive Ibiza;4.2;N/A;4;Ibiza Town
 Pacha Hotel;4.4;N/A;4;Ibiza Town
 The Standard, Ibiza;4.7;N/A;5;Ibiza City Centre, Ibiza Town
 Hostal Parque Ibiza;3.5;N/A;3;Ibiza City Centre, Ibiza Town
 Apartamentos San Francisco;3.9;N/A;3;Sant Antoni de Portmany
 Hostal Juanita;3.8;N/A;3;Ibiza City Centre, Ibiza Town
 Play Hotel Ibiza;N/A;N/A;1;Ibiza City Centre, Ibiza Town
 Montesol Experimental Ibiza;4.3;N/A;5;Ibiza City Centre, Ibiza Town
 Boutique Apartments Marsol Ibiza;4.3;N/A;4;Santa Eulalia del Rio
 Can Vistabella Boutique Resort;4.7;N/A;4;Sant Antoni de Portmany
 Hostal Santa Eulariaz;N/A;N/A;0;Ibiza City Centre, Ibiza Town
 Agroturismo Sa Marina Ibiza;N/A;N/A;3;Santa Eulalia del Rio
